""	"H1975_DMSO_1"	"H1975_DMSO_2"	"H1975_DMSO_3"	"H1975_osi_DTP_1"	"H1975_osi_DTP_2"	"H1975_osi_DTP_3"
"EMILIN2"	5.19697974012995	8.87222434485128	6.69328299455974	8.46705289344069	10.8184652647389	8.24884411652308
"EMILIN3"	0.0930549192014941	0.105585919583324	0.212122627322707	0.102397369534492	0.046365213493369	0.107350948886643
"EML1"	52.2556006343632	39.6187553062029	52.0558235615933	10.1456188889624	7.6244574274231	8.01950098709666
"EML2"	11.3974835442417	6.36074851972286	12.6225266691648	5.78607600250197	3.73254820268868	6.78671215304474
"EML3"	42.6784599195992	47.5432369824454	38.9094877551662	38.7504653930907	47.1617673802661	51.6539396320666
"EML4"	147.592085334975	148.354477842181	140.360352831314	95.419316646918	114.498651887551	102.4012928484
"EML5"	7.46258327649613	8.56193242497123	6.35569403559253	9.88301516262396	9.415337998678	9.61485085485282
"EML6"	3.86697266382611	2.01278891519603	4.60822470876415	1.49507505229903	2.21569628145987	1.48044020611651
"EMP1"	43.0156993154749	59.5230262933042	48.760395432005	41.4719812341909	31.8288734541677	18.0457911854325
"EMP2"	124.931629395537	101.269049745815	117.175947798393	49.2959352315361	63.3523505678654	44.7981651104079
"EMP3"	34.4911081020783	41.4288131344683	35.0770413200194	39.1743614148842	43.5172935964555	40.4218104259875
"EMSY"	31.1514764122283	39.6746469034862	36.2315198436664	45.7394747396997	46.5266942584489	33.7037238465077
"EMX1"	0.364491621946425	0.337302659850567	0.254921089586354	3.9627916177396	2.67936744160888	6.32490431836869
"EMX2"	0.383143322743993	0.42504389716908	0.258815523096414	0.383535447687953	0.331438051896585	0.329986838232226
"EN1"	0.0210510708505021	0.21086903053816	0.0232580741497221	0.137167729704962	0.0412124852325096	0.0244380145961839
"EN2"	5.85236868710074	6.1139578141921	6.20907097495549	2.35425645820119	2.53451890657678	2.41763381432379
"ENAH"	320.280273718616	302.41294273806	286.7036985849	483.074152313937	515.115962008323	415.088129289808
"ENAM"	0.0423055131717668	0.0235320827782811	0.0467251995615263	0	0.0207037792091809	0
"ENC1"	106.423777133965	154.16991500656	117.280813255228	130.443562580459	130.056741964908	117.354675554168
"ENDOD1"	101.260807223764	93.7376763332697	93.1309603134935	81.2124667141154	72.8718729642564	97.0249682140591
"ENDOG"	18.3627726663733	20.0027361994804	20.1066884622757	18.2447790295142	22.1642454969535	18.8860264516563
"ENDOU"	0.0180943724736772	0	0.0192607562907778	0.0637962050940301	0.0511937050193904	0.101193507466412
"ENDOV"	29.1558423736791	20.5650998732687	24.7121226673221	15.4111373458116	18.0940513462652	20.6631569843853
"ENG"	165.645812100495	152.204298656241	149.809443049075	99.6419929461212	103.641479470486	87.355369522487
"ENGASE"	37.1385585387649	34.7651180714203	28.7063167571812	20.0055622109402	18.9650829374089	34.9583259423762
"ENHO"	2.53221112437862	3.49655846452763	1.75980899528887	4.32574875704373	3.40178094761731	3.33973504977326
"ENKD1"	20.3707735942375	19.4545596839576	16.6180753166833	16.1069824484959	15.4979781250145	18.9309201184042
"ENKUR"	0.5504042933479	0.932249397164852	0.441515478880048	1.04312428791857	0.664850453661566	0.699324830632125
"ENO1"	3072.57565115835	2711.07633963625	2970.60274852918	2002.21779233259	2246.7836285881	1571.88772910889
"ENO2"	61.9261908177314	37.9878197064744	48.8849828040334	22.4424677432357	22.2159898591125	25.1944910568983
"ENO3"	4.83096287529254	3.96200677327788	4.58572580358759	3.91034922463741	4.93858789652827	3.13420834012818
"ENO4"	0.404874992622226	0.504713739616378	0.427185656209381	0.992973601549438	1.24434404261527	1.15232673321105
"ENOPH1"	43.8873770831036	56.0000916072693	46.9643040020731	36.47101187034	43.2847258180191	34.9017361253667
"ENOSF1"	39.6661289576281	40.9742784805271	32.9650381255286	31.9473881738528	27.7593233547092	36.5488033092642
"ENOX1"	0.249152173683313	0.067635523779397	0.156631299789266	1.13635826954254	0.341068370230546	0.617613613894004
"ENOX2"	32.7444040743909	31.8535690059915	37.6692718682887	27.9242046537285	31.9536795960619	19.0205554180854
"ENPEP"	0.759562586083304	1.64527867278182	1.61573072462514	7.46928183364274	3.6835011767234	5.58292004214465
"ENPP1"	3.70030614986744	4.75466447501059	4.33830713524132	4.89442715986524	5.50206421990476	3.3341846384806
"ENPP2"	0.672747758577341	0.742501747996427	0.518177943141245	0.825065960640992	0.81039073957186	1.13912772892235
"ENPP3"	0.277017461045233	0.124193355946672	0.0291111589022485	0	0	0.212918337535044
"ENPP4"	0.802805065934207	3.05559984677152	1.79678607818144	9.72424413722626	12.1588953788729	10.4103281309176
"ENPP5"	0	0	0	0.214206683007097	0.144385537331685	0.241780333221933
"ENPP6"	0.196911382938065	0.0847940408720989	0.250265191747941	0.12027571056954	0.163321980243478	0.133368063109738
"ENPP7"	0	0	0	0	0	0
"ENSA"	188.81056489924	174.254467862863	190.874956432099	141.746524279853	168.863252563066	120.355824331481
"ENTHD1"	0	0	0	0	0	0
"ENTPD1"	25.0497306381149	35.9124532835153	26.2968519550665	27.8717515689629	30.9121366173892	28.2165115488716
"ENTPD2"	2.19328935872559	0.874735607805791	1.282656185266	0.511854330763258	0.2213278563837	0.173011998251835
"ENTPD3"	2.91418605216869	3.36033476006994	2.57156485365234	0.954999213352735	0.677115215259734	0.478417529295925
"ENTPD4"	38.8414612563291	41.9765942548044	45.7931578077849	53.5797365669616	42.6323940919003	54.7640377713732
"ENTPD5"	35.0773584480654	35.0763822520811	33.3854319912542	23.5619047187241	27.702213197339	26.4071699589469
"ENTPD6"	125.806363420231	125.326255785202	114.473912354253	121.658277785294	109.244191761931	129.354022771593
"ENTPD7"	23.1084208977012	25.3369020245758	26.1381718787748	24.7292509549663	29.1512977595696	18.5596645458461
"ENTPD8"	0.554844983148148	0.0892724041691948	0.702825804365881	0.335703681626999	0.550578679135844	0.61609529865679
"ENTR1"	101.068620954759	107.318747203537	89.1580724119256	70.240850142178	83.9735277448157	89.1018637008552
"ENY2"	34.068909014249	37.4458070694082	35.177628414518	35.3509284289557	41.5580528255071	33.4260004921606
"EOGT"	23.9521263848499	22.1239981884443	22.7168573316409	16.261199292766	22.4384587031622	15.5133127038182
"EOMES"	0	0	0	0	0	0
"EP300"	178.424596981611	149.910417793435	175.801127743668	191.994311272236	198.153012505195	179.123760341639
"EP400"	117.396543514741	110.269763439903	109.786494195058	121.044652928359	112.311813211181	132.907049004644
"EPAS1"	172.235729439737	137.195966728163	162.318306500785	389.039783381749	295.119196470556	262.405875878636
"EPB41"	26.9109523126306	30.140448936176	39.8716653293762	34.7791839219426	46.2960494544656	47.1242239895081
"EPB41L1"	73.1926400648045	57.1449684361161	61.418640878535	93.7185171454047	56.9715307135356	64.9405426162556
"EPB41L2"	125.412990922607	192.831832050795	137.687117629532	269.927961548459	287.564659850472	233.153215452741
"EPB41L3"	0	0.00989084071905722	0.131835475047856	0.420311343925296	0.0136973876648287	0
"EPB41L4A"	0.614979704489532	0.41687091388053	1.04297073745278	2.13917193600501	0.891765017819611	0.866172338098915
"EPB41L4B"	31.1643064708358	34.3525234662744	31.7252370608741	4.56788908719851	6.81183735272188	3.2415011129324
"EPB41L5"	22.6736484964799	19.8430099350395	24.4296862569262	17.1868945249495	16.992328870275	13.9326266679441
"EPB42"	0	0	0	0	0	0
"EPC1"	19.3873200750189	22.5406741366709	19.8294101722925	24.0187132856045	26.723198270949	19.6715160874608
"EPC2"	24.3114021848457	23.0844750002898	25.6079142073886	29.8587102087561	29.0888477836718	29.132789510479
"EPCAM"	260.807806316618	115.381309830058	235.140505062565	17.0955920788633	24.5872014881116	20.8954153752374
"EPDR1"	65.6076160937669	82.9999217282301	77.0051718202282	152.34048507117	152.753474958635	124.112581216722
"EPG5"	93.9848478514993	177.16788355744	117.316081166897	171.671774277109	145.491662697183	121.747127334543
"EPGN"	0.465046940867651	0.355949015061005	0.28687276633716	0.0279070313732092	0.0125676926799044	0
"EPHA1"	27.3260021029257	7.0471255599949	18.595939517111	4.06987188422646	3.03489122113319	2.60371836861389
"EPHA10"	9.03998144018239	6.72029379356452	5.56207641895727	10.0055296529057	10.6222610430251	11.1563762671439
"EPHA2"	96.9154775293431	136.851691355987	124.916879972788	60.2158400030864	67.3194431292911	55.9601959500439
"EPHA3"	0.0748733487105405	0.0804054406811872	0	0	0	0
"EPHA4"	4.51340454441275	8.21225816949964	7.38401448054681	7.64516780164561	4.63539216388236	5.89846135677131
"EPHA5"	0	0	0.0673760399466121	0.0710431698430309	0.0895534905505989	0
"EPHA6"	0.752011742300619	1.96330818629538	1.49038452009486	0.658261614786229	0.648821979757055	0.262892774497215
"EPHA7"	0	0.138994206118985	0.0364168271263508	0.135619437638262	0.0161364910559353	0
